title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
The Spanish Apartment,Drama Comedy Romance,Romain Duris Audrey Tautou Kelly Reilly Cécile de France Cristina Brondo,Cédric Klapisch,7.0,13.034602,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship.",the spanish apartment,strait laced french student move apartment barcelona cast six character europe together speak international language love friendship,romain duris audrey tautou kelly reilly c cile de france cristina brondo,c dric klapisch
Song One,Drama,Anne Hathaway Johnny Flynn Mary Steenburgen Ben Rosenfield Lola Kirke,Kate Barker-Froyland,5.5,6.349218,"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklynï¿½ï¿½ï¿½s music scene, Franny and James develop an unexpected relationship and face the realities of their ",song one,estranged family franny return home accident leaf brother comatose retracing life aspiring musician track favorite musician james forester backdrop brooklyn music scene franny james develop unexpected relationship face reality,anne hathaway johnny flynn mary steenburgen ben rosenfield lola kirke,kate barker froyland
Winter in Wartime,Drama History War,Martijn Lakemeier Melody Klaver Yorick van Wageningen Jamie Campbell Bower Raymond Thiry,Martin Koolhoven,6.8,5.013575,"During World War II in the freezing Netherlands winter of 1944/1945 the western Netherlands are in the grip of a famine.  Many people move east to provide for their families. Fourteen year old Michiel can't wait to join the Dutch resistance, to the dismay of his father, who, as mayor, works to prevent escalations in the village.",winter in wartime,world war ii freezing netherlands winter 1944 1945 western netherlands grip famine many people move east provide family fourteen year old michiel wait join dutch resistance dismay father mayor work prevent escalation village,martijn lakemeier melody klaver yorick van wageningen jamie campbell bower raymond thiry,martin koolhoven
Freaky Deaky,Comedy,Christian Slater Michael Jai White Crispin Glover Billy Burke Breanne Racano,Charles Matthau,4.9,4.448353,"Set in 1974, a pair of '60s radicals rely on their bomb-making skills on their way to becoming capitalists.",freaky deaky,set 1974 pair 60 radical rely bomb making skill way becoming capitalist,christian slater michael jai white crispin glover billy burke breanne racano,charles matthau
The Train,Action Drama Thriller War,Burt Lancaster Paul Scofield Jeanne Moreau Suzanne Flon Michel Simon,John Frankenheimer,7.2,4.49029,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory.",the train,allied force approach paris august 1944 german colonel von waldheim desperate take france greatest painting germany manages secure train transport valuable art work even chaos retreat descends upon french resistance however want stop stealing national treasure received order london destroyed station master labiche tasked scheduling train making happen smoothly also part dwindling group resistance fighter tasked preventing theft others stage elaborate ruse keep train ever leaving french territory,burt lancaster paul scofield jeanne moreau suzanne flon michel simon,john frankenheimer
Trade Of Innocents,Drama Thriller,Dermot Mulroney Mira Sorvino John Billingsley Trieu Tran Kiều Chinh,Christopher Bessette,5.5,2.204138,"In the back streets of a tourist town in present-day Southeast Asia, we find a filthy cinder block room; a bed with soiled sheets; a little girl waits for the next man. Alex (Dermot Mulroney), a human trafficking investigator, plays the role of her next customer as he negotiates with the pimp for the use of the child. Claire (Mira Sorvino), Alex's wife, is caught up in the flow of her new life in Southeast Asia and her role as a volunteer in an aftercare shelter for rescued girls where lives of local neighborhood girl's freedoms and dignity are threatened. Parallel story lines intertwine and unfold twists against the backdrop of the dangerous human trafficking world, in a story of struggle, life, hope and redemption in the ""TRADE of INNOCENTS.""",trade of innocents,back street tourist town present day southeast asia find filthy cinder block room bed soiled sheet little girl wait next man alex dermot mulroney human trafficking investigator play role next customer negotiates pimp use child claire mira sorvino alex wife caught flow new life southeast asia role volunteer aftercare shelter rescued girl life local neighborhood girl freedom dignity threatened parallel story line intertwine unfold twist backdrop dangerous human trafficking world story struggle life hope redemption trade innocent,dermot mulroney mira sorvino john billingsley trieu tran ki u chinh,christopher bessette
The Protector,Action Crime Drama Thriller,Tony Jaa Petchtai Wongkamlao Bongkoj Khongmalai Xing Jing Nathan Jones,Prachya Pinkaew,6.8,11.81832,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters.",the protector,bangkok young kham raised father jungle elephant member family old elephant baby kern stolen criminal kham find animal sent sidney travel australia locates baby elephant restaurant owned evil madame rose leader international thai mafia support efficient thai sergeant mark involved conspiracy kham fight rescue animal mobster,tony jaa petchtai wongkamlao bongkoj khongmalai xing jing nathan jones,prachya pinkaew
Stiff Upper Lips,Comedy,Georgina Cates Peter Ustinov Prunella Scales Samuel West Sean Pertwee,Gary Sinyor,10.0,0.356495,"Stiff Upper Lips is a broad parody of British period films, especially the lavish Merchant-Ivory productions of the 'eighties and early 'nineties. Although it specifically targets A Room with a View, Chariots of Fire, Maurice, A Passage to India, and many other films, in a more general way Stiff Upper Lips satirises popular perceptions of certain Edwardian traits: propriety, sexual repression, xenophobia, and class snobbery.",stiff upper lips,stiff upper lip broad parody british period film especially lavish merchant ivory production eighty early ninety although specifically target room view chariot fire maurice passage india many film general way stiff upper lip satirises popular perception certain edwardian trait propriety sexual repression xenophobia class snobbery,georgina cates peter ustinov prunella scales samuel west sean pertwee,gary sinyor
Bend It Like Beckham,Comedy Drama Romance,Parminder Nagra Keira Knightley Jonathan Rhys Meyers Anupam Kher Shaheen Khan,Gurinder Chadha,6.2,22.054546,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",bend it like beckham,jess bhamra daughter strict indian couple london permitted play organized soccer even though 18 jess playing fun one day impressive skill seen jules paxton convinces jess play semi pro team jess us elaborate excuse hide match family also dealing romantic feeling coach joe,parminder nagra keira knightley jonathan rhys meyers anupam kher shaheen khan,gurinder chadha
Sunshine State,Drama,Alan King Angela Bassett Timothy Hutton Mary Steenburgen Clifton James,John Sayles,6.0,4.245123,"A woman and her new husband returns to her hometown roots in coastal northern Florida, and must deal with family, business, and encroaching real estate development.",sunshine state,woman new husband return hometown root coastal northern florida must deal family business encroaching real estate development,alan king angela bassett timothy hutton mary steenburgen clifton james,john sayles
Crossover,Action Adventure Drama,Anthony Mackie Marcello Thedford Allen Payne Wesley Jonathan Wayne Brady,Preston A. Whitmore II,4.2,3.201886,"The clock strikes midnight, money changes hands, the crowd is on their feet, and the court is alive with fast-paced razzle-dazzle basketball. These players don't play for a school or a pro team. They play for the street and it's underground...way underground.",crossover,clock strike midnight money change hand crowd foot court alive fast paced razzle dazzle basketball player play school pro team play street underground way underground,anthony mackie marcello thedford allen payne wesley jonathan wayne brady,preston a  whitmore ii
Khiladi 786,Action Comedy,Akshay Kumar Asin Thottumkal Himesh Reshammiya Mithun Chakraborty Raj Babbar,Ashish R. Mohan,4.7,0.114342,The 8th installment in the Khiladi series.,khiladi 786,8th installment khiladi series,akshay kumar asin thottumkal himesh reshammiya mithun chakraborty raj babbar,ashish r  mohan
[REC]ï¿,Thriller Horror,Manuela Velasco Ferran Terraza Claudia Silva Javier Botet Pablo Rosso,Jaume Balagueró Paco Plaza,6.4,22.341462,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.", rec   ,action continues rec medical officer swat team outfitted video camera sent sealed apartment control situation,manuela velasco ferran terraza claudia silva javier botet pablo rosso,jaume balaguer  paco plaza
Standing Ovation,Comedy Music Family,Kayla Jackson Kayla Raparelli Sal Dupree Al Sapienza Alexis Biesiada,Stewart Raffill,3.9,0.305922,A group of young girls is competing in a nation teen music video competition.,standing ovation,group young girl competing nation teen music video competition,kayla jackson kayla raparelli sal dupree al sapienza alexis biesiada,stewart raffill
The Sting,Comedy Crime Drama,Paul Newman Robert Redford Robert Shaw Charles Durning Ray Walston,George Roy Hill,7.9,28.500913,Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,the sting,set 1930 intricate caper deal ambitious small time crook veteran con man seek revenge vicious crime lord murdered one gang,paul newman robert redford robert shaw charles durning ray walston,george roy hill
Chariots of Fire,Drama History,Ben Cross Ian Charleson Cheryl Campbell Alice Krige Nigel Havers,Hugh Hudson,6.8,10.439971,The true story of British athletes preparing for and competing in the 1924 Summer Olympics.,chariots of fire,true story british athlete preparing competing 1924 summer olympics,ben cross ian charleson cheryl campbell alice krige nigel havers,hugh hudson
Diary of a Mad Black Woman,Comedy Drama Romance,Kimberly Elise Steve Harris Tyler Perry Shemar Moore Vickie Eng,Darren Grant,6.4,3.784535,"Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea, an old woman who doesn't take any lip from anyone. Madea helps Helen through these tough times by showing her what is really important in life.",diary of a mad black woman,charles mccarter wife helen celebrate 18th wedding anniversary helen come home find clothes packed u haul van parked driveway charles divorcing helen move grandmother madea old woman take lip anyone madea help helen tough time showing really important life,kimberly elise steve harris tyler perry shemar moore vickie eng,darren grant
Shine,Drama,Geoffrey Rush Noah Taylor Armin Mueller-Stahl Justin Braine Sonia Todd,Scott Hicks,7.3,10.396305,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",shine,pianist david helfgott driven father teacher breakdown year later return piano popular critical acclaim,geoffrey rush noah taylor armin mueller stahl justin braine sonia todd,scott hicks
Don Jon,Romance Comedy Drama,Joseph Gordon-Levitt Scarlett Johansson Julianne Moore Tony Danza Glenne Headly,Joseph Gordon-Levitt,5.9,33.296684,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",don jon,new jersey guy dedicated family friend church develops unrealistic expectation watching porn work find happiness intimacy potential true love,joseph gordon levitt scarlett johansson julianne moore tony danza glenne headly,joseph gordon levitt
High Plains Drifter,Western,Clint Eastwood Verna Bloom Marianna Hill Mitchell Ryan Jack Ging,Clint Eastwood,7.4,19.127239,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.",high plains drifter,gunfighting stranger come small settlement lago gunning three gunman tried kill townsfolk decide hire stranger hold three outlaw way,clint eastwood verna bloom marianna hill mitchell ryan jack ging,clint eastwood
Ghost World,Comedy Drama,Thora Birch Scarlett Johansson Steve Buscemi Brad Renfro Bob Balaban,Terry Zwigoff,7.1,14.072941,"A quirky girl tries to figure out what to do now that she had graduated from high school, and forms a friendship with an eccentric 40-year-old record collector after playing a prank on him with her best friend.",ghost world,quirky girl try figure graduated high school form friendship eccentric 40 year old record collector playing prank best friend,thora birch scarlett johansson steve buscemi brad renfro bob balaban,terry zwigoff
Iris,Drama Romance,Judi Dench Jim Broadbent Kate Winslet Hugh Bonneville Penelope Wilton,Richard Eyre,6.2,2.714043,"True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.",iris,true story lifelong romance novelist iris murdoch husband john bayley student day battle alzheimer disease,judi dench jim broadbent kate winslet hugh bonneville penelope wilton,richard eyre
Galaxina,Comedy Science Fiction,Dorothy Stratten Stephen Macht Avery Schreiber Lionel Mark Smith J.D. Hinton,William Sachs,3.3,2.141143,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor.",galaxina,galaxina lifelike voluptuous android assigned oversee operation intergalactic space police cruiser captained incompetent cornelius butt mission requires ship crew placed suspended animation decade galaxina find alone many year developing emotion falling love ship pilot thor,dorothy stratten stephen macht avery schreiber lionel mark smith j d  hinton,william sachs
The Chorus,Drama,Gérard Jugnot François Berléand Kad Merad Jean-Paul Bonnaire Marie Bunel,Christophe Barratier,7.5,20.982455,"Set in 1940's France, a new teacher at a school for disruptive boys gives hope and inspiration.",the chorus,set 1940 france new teacher school disruptive boy give hope inspiration,g rard jugnot fran ois berl and kad merad jean paul bonnaire marie bunel,christophe barratier
Mambo Italiano,Comedy Romance,Luke Kirby Ginette Reno Paul Sorvino Mary Walsh Peter Miller,Émile Gaudreault,5.6,2.080741,"A sweet comic film about an Italian man who comes out of the closet and the affect it has on his life and his crazy family. A family movie about the stereotypes of homosexuals and Italians ï¿½ï¿½ï¿½ called by cr""the gay"" My Big Fat Greek Wedding.",mambo italiano,sweet comic film italian man come closet affect life crazy family family movie stereotype homosexual italian called cr gay big fat greek wedding,luke kirby ginette reno paul sorvino mary walsh peter miller, mile gaudreault
Wonderland,Crime Drama Mystery Thriller,Val Kilmer Dylan McDermott Kate Bosworth Josh Lucas Lisa Kudrow,James Cox,6.2,7.79068,"On the afternoon of July 1, 1981, Los Angeles police responded to a distress call on Wonderland Avenue and discovered a grisly quadruple homicide. The police investigation that followed uncovered two versions of the events leading up to the brutal murders - both involving legendary porn actor John Holmes. You're about to experience both versions.",wonderland,afternoon july 1 1981 los angeles police responded distress call wonderland avenue discovered grisly quadruple homicide police investigation followed uncovered two version event leading brutal murder involving legendary porn actor john holmes experience version,val kilmer dylan mcdermott kate bosworth josh lucas lisa kudrow,james cox
Do the Right Thing,Drama,Danny Aiello Ossie Davis Ruby Dee Richard Edson Giancarlo Esposito,Spike Lee,7.6,15.580335,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",do the right thing,hottest day year street bedford stuyvesant section brooklyn everyone hate bigotry smolder build explodes violence,danny aiello ossie davis ruby dee richard edson giancarlo esposito,spike lee
Harvard Man,Drama,Sarah Michelle Gellar Adrian Grenier Joey Lauren Adams Eric Stoltz Rebecca Gayheart,James Toback,4.8,5.336243,"College has always been a time for experimentation, sexual, cultural and otherwise. ""Harvard Man"" plays out against a background of love, sex, basketball, crime and experimentation. Action and philosophy in young people's quest to discover their true identity.",harvard man,college always time experimentation sexual cultural otherwise harvard man play background love sex basketball crime experimentation action philosophy young people quest discover true identity,sarah michelle gellar adrian grenier joey lauren adams eric stoltz rebecca gayheart,james toback
Le Havre,Drama Comedy,André Wilms Kati Outinen Blondin Miguel Elina Salo Evelyne Didi,Aki Kaurismäki,6.8,10.787322,"Marcel Marx, a former bohemian and struggling author, has given up his literary ambitions and relocated to the port city Le Havre. He leads a simple life based around his wife Arletty, his favourite bar and his not too profitable profession as a shoeshiner. As Arletty suddenly becomes seriously ill, Marcel's path crosses with an underage illegal immigrant from Africa, who needs Marcel's help to hide from the police.",le havre,marcel marx former bohemian struggling author given literary ambition relocated port city le havre lead simple life based around wife arletty favourite bar profitable profession shoeshiner arletty suddenly becomes seriously ill marcel path cross underage illegal immigrant africa need marcel help hide police,andr  wilms kati outinen blondin miguel elina salo evelyne didi,aki kaurism ki
Irreversible,Drama Thriller Crime Mystery,Monica Bellucci Vincent Cassel Albert Dupontel Jo Prestia Philippe Nahon,Gaspar Noé,7.1,32.476098,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.",irreversible,event course one traumatic night paris unfold reverse chronological order beautiful alex brutally raped beaten stranger underpass boyfriend ex lover take matter hand hiring two criminal help find rapist exact revenge simultaneously beautiful terrible examination destructive nature cause effect time destroys everything,monica bellucci vincent cassel albert dupontel jo prestia philippe nahon,gaspar no 
R100,Comedy Drama,Nao Omori Mao Daichi Shinobu Terajima Hairi Katagiri Eriko Satô,Hitoshi Matsumoto,5.4,3.21392,Ruthless dominatrixes pursue a mild-mannered salesman who wants to get out of his unbreakable contract with a secret bondage club.,r100,ruthless dominatrix pursue mild mannered salesman want get unbreakable contract secret bondage club,nao omori mao daichi shinobu terajima hairi katagiri eriko sat ,hitoshi matsumoto
Rang De Basanti,Drama,Aamir Khan Soha Ali Khan Alice Patten Sharman Joshi Kunal Kapoor,Rakeysh Omprakash Mehra,7.2,5.206967,"A young idealistic English filmmaker, Sue, arrives in India to make a film on Indian revolutionaries Bhagat Singh, Chandrashekhar Azad and their contemporaries and their fight for freedom from the British Raj. Owing to a lack of funds, she recruits students from Delhi University to act in her docu-drama. She finds DJ, who passed out five years back but still wants to be a part of the University because he doesn't think there's too much out there in the real world to look forward to. Karan, the son of Industrialist Rajnath Singhania, who shares an uncomfortable relationship with his father, but continues to live off him, albeit very grudgingly. Aslam, is a middle class Muslim boy, who lives in the by-lanes near Jama Masjid, poet, philosopher and guide to his friends. Sukhi, the group's baby, innocent, vulnerable and with a weakness for only one thing - girls. Laxman Pandey...",rang de basanti,young idealistic english filmmaker sue arrives india make film indian revolutionary bhagat singh chandrashekhar azad contemporary fight freedom british raj owing lack fund recruit student delhi university act docu drama find dj passed five year back still want part university think much real world look forward karan son industrialist rajnath singhania share uncomfortable relationship father continues live albeit grudgingly aslam middle class muslim boy life lane near jama masjid poet philosopher guide friend sukhi group baby innocent vulnerable weakness one thing girl laxman pandey,aamir khan soha ali khan alice patten sharman joshi kunal kapoor,rakeysh omprakash mehra
Animals,Drama,David Dastmalchian Kim Shaw John Heard John Hoogenakker Shon McGregory,Collin Schiffli,6.2,1.5846,"ANIMALS tells the story of Jude and Bobbie: a young couple that exist somewhere between homelessness and the fantasy of their imaginations. Though they masterfully con and steal in an attempt to stay one step ahead of their addiction, they are ultimately forced to face the reality of their situation when one of them gets hospitalized.",animals,animal tell story jude bobbie young couple exist somewhere homelessness fantasy imagination though masterfully con steal attempt stay one step ahead addiction ultimately forced face reality situation one get hospitalized,david dastmalchian kim shaw john heard john hoogenakker shon mcgregory,collin schiffli
Salvation Boulevard,Comedy Thriller Action Drama,Jennifer Connelly Marisa Tomei Pierce Brosnan Ed Harris Greg Kinnear,George Ratliff,5.6,3.653305,Set in the world of mega-churches in which a former Deadhead-turned-born again-Christian finds himself on the run from fundamentalist members of his mega-church who will do anything to protect their larger-than-life pastor.,salvation boulevard,set world mega church former deadhead turned born christian find run fundamentalist member mega church anything protect larger life pastor,jennifer connelly marisa tomei pierce brosnan ed harris greg kinnear,george ratliff
The Ten,Comedy,Paul Rudd Adam Brody Jon Hamm Winona Ryder Ken Marino,David Wain,4.9,3.865122,"Ten stories, each inspired by one of the ten commandments.",the ten,ten story inspired one ten commandment,paul rudd adam brody jon hamm winona ryder ken marino,david wain
A Room for Romeo Brass,Drama Comedy Foreign,Paddy Considine Andrew Shim Frank Harper Vicky McClure Johann Myers,Shane Meadows,7.3,1.391958,"Two twelve-year-old boys, Romeo and Gavin, undergo an extraordinary test of character and friendship when Morell, a naive but eccentric and dangerous stranger, comes between them. Morell befriends with the two boys and later asks them to help him pursue Romeo's beautiful elder sister. He gradually becomes more violent after she rejects him.",a room for romeo brass,two twelve year old boy romeo gavin undergo extraordinary test character friendship morell naive eccentric dangerous stranger come morell befriends two boy later asks help pursue romeo beautiful elder sister gradually becomes violent reject,paddy considine andrew shim frank harper vicky mcclure johann myers,shane meadows
Headhunters,Thriller Crime,Aksel Hennie Nikolaj Coster-Waldau Synnøve Macody Lund Julie R. Ølgaard Eivind Sander,Morten Tyldum,7.1,20.821846,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary..,headhunters,accomplished headhunter risk everything obtain valuable painting owned former mercenary,aksel hennie nikolaj coster waldau synn ve macody lund julie r   lgaard eivind sander,morten tyldum
Grabbers,Science Fiction Comedy Thriller Horror,Richard Coyle Ruth Bradley Russell Tovey Bronagh Gallagher David Pearse,Jon Wright,6.0,9.451228,"Something sinister has come to the shores of Erin Island, unbeknownst to the quaint population of this sleepy fishing village resting somewhere off Irelandï¿½ï¿½ï¿½s coast. First, some fishermen go missing. Then there is the rash of whale carcasses suddenly washing up on the beach. When the murders start, itï¿½ï¿½ï¿½s up to two mismatched cops ï¿½ï¿½ï¿½ an irresponsible alcoholic and his new partner, a by-the-book woman from the mainland ï¿½ï¿½ï¿½ to protect the townsfolk from the giant, bloodsucking, tentacled aliens that prey upon them. Their only weapon, they discover, is booze. If they want to survive the creaturesï¿½ï¿½ï¿½ onslaught, everyone will",grabbers,something sinister come shore erin island unbeknownst quaint population sleepy fishing village resting somewhere ireland coast first fisherman go missing rash whale carcass suddenly washing beach murder start two mismatched cop irresponsible alcoholic new partner book woman mainland protect townsfolk giant bloodsucking tentacled alien prey upon weapon discover booze want survive creature onslaught everyone,richard coyle ruth bradley russell tovey bronagh gallagher david pearse,jon wright
Saint Ralph,Comedy Drama,Adam Butcher Campbell Scott Michael Kanev Gordon Pinsent Tamara Hope,Michael McGowan,7.3,1.688495,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by. It's the fictional tale of a wayward 9th grader, Ralph (Adam Butcher), who is secretly living on his own while his widowed, hospitalized mother remains immersed in a coma. Frequently in trouble with Father Fitzpatrick (Gordon Pinsent), the principal of his all-boys, Catholic school, Ralph is considered something of a joke among peers until he decides to pull off a miracle that could save his mother, i.e., winning the Boston Marathon.  Coached by a younger priest and former runner, Father Hibbert (Campbell Scott), whose cynicism has been lifted by the boy's pure hope, Ralph applies himself to his unlikely mission, fending off naysayers and getting help along a very challenging path from sundry allies and friends.",saint ralph,canadian made comedy drama set hamilton ontario 1954 sweet time goofy story becomes increasingly poignant minute tick fictional tale wayward 9th grader ralph adam butcher secretly living widowed hospitalized mother remains immersed coma frequently trouble father fitzpatrick gordon pinsent principal boy catholic school ralph considered something joke among peer decides pull miracle could save mother e winning boston marathon coached younger priest former runner father hibbert campbell scott whose cynicism lifted boy pure hope ralph applies unlikely mission fending naysayer getting help along challenging path sundry ally friend,adam butcher campbell scott michael kanev gordon pinsent tamara hope,michael mcgowan
Miss Julie,Drama,Jessica Chastain Colin Farrell Samantha Morton Nora McMenamy,Liv Ullmann,5.9,5.033065,"Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",miss julie,course midsummer night fermanagh 1890 unsettled daughter anglo irish aristocracy encourages father valet seduce,jessica chastain colin farrell samantha morton nora mcmenamy,liv ullmann
Somewhere in Time,Science Fiction Drama Fantasy Romance,Christopher Reeve Jane Seymour Christopher Plummer Teresa Wright Bill Erwin,Jeannot Szwarc,7.2,5.934016,"Young writer, Richard Collier is met on the opening night of his first play by an old lady who begs him to, ""Come back to me."" Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early 1900s. Becoming more and more obsessed with her, he manages ï¿½ï¿½ï¿½ by self-hypnosis ï¿½ï¿½ï¿½ to travel back in time where he meets her. They fall in love, a matching that is not appreciated by her manager. Can their love outlast the immense problems caused by"" difference, and can Richard remain in a time that is not his?",somewhere in time,young writer richard collier met opening night first play old lady begs come back mystified try find learns famous stage actress early 1900s becoming obsessed manages self hypnosis travel back time meet fall love matching appreciated manager love outlast immense problem caused difference richard remain time,christopher reeve jane seymour christopher plummer teresa wright bill erwin,jeannot szwarc
Dum Maaro Dum,Drama Action Crime Foreign,Abhishek Bachchan Bipasha Basu Deepika Padukone Rana Daggubati Prateik Babbar,Rohan Sippy,5.4,0.075817,"We hurtle into the bylanes, beach shacks and raves of Goa with Lorry as his life spirals out of control, with Joki as he tries to redeem the past and with Kamath as he goes no-holds-barred after the mysterious shadow figure behind it all... Punctuated with a soundtrack that moves from pulsating dance tracks to haunting Konkani songs, shot right in the midst of the teeming international tourist hotspots, Dum Maaro Dum takes you on a dramatic, thrilling trip filled with twists, turns, suspense... and a shocking finale!",dum maaro dum,hurtle bylanes beach shack raf goa lorry life spiral control joki try redeem past kamath go hold barred mysterious shadow figure behind punctuated soundtrack move pulsating dance track haunting konkani song shot right midst teeming international tourist hotspot dum maaro dum take dramatic thrilling trip filled twist turn suspense shocking finale,abhishek bachchan bipasha basu deepika padukone rana daggubati prateik babbar,rohan sippy
Insidious: Chapter 2,Horror Thriller,Patrick Wilson Rose Byrne Ty Simpkins Lin Shaye Barbara Hershey,James Wan,6.5,48.375848,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,insidious  chapter 2,haunted lambert family seek uncover mysterious childhood secret left dangerously connected spirit world,patrick wilson rose byrne ty simpkins lin shaye barbara hershey,james wan
Saw II,Horror,Tobin Bell Shawnee Smith Donnie Wahlberg Franky G Glenn Plummer,Darren Lynn Bousman,6.3,42.187986,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game...",saw ii,new murder victim discovered sign jigsaw hand detective eric matthew begin full investigation apprehends jigsaw little effort jigsaw getting caught another part plan eight victim already fighting life time matthew join game,tobin bell shawnee smith donnie wahlberg franky g glenn plummer,darren lynn bousman
10 Cloverfield Lane,Thriller Science Fiction Drama,Mary Elizabeth Winstead John Goodman John Gallagher Jr. Bradley Cooper Douglas M. Griffin,Dan Trachtenberg,6.8,53.698683,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?",10 cloverfield lane,car accident michelle awakens find mysterious bunker two men named howard emmett howard offer pair crutch help remain mobile leg injury sustained car crash tell get good leaving bunker given information alien attack outside world poisoned however howard emmett intention soon become questionable michelle faced question better,mary elizabeth winstead john goodman john gallagher jr  bradley cooper douglas m  griffin,dan trachtenberg
Jackass: The Movie,Documentary Comedy,Johnny Knoxville Bam Margera Steve-O Chris Pontius Dave England,Jeff Tremaine,6.1,14.752587,"Johnny Knoxville and his crazy friends appear on the big screen for the very first time in Jackass: The Movie. They wander around Japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving LIVE alligators, and so on. While Johnny Knoxvile and his pals put their life at risk, they are entertaining people at the same time. Get ready for Jackass: The Movie!!",jackass  the movie,johnny knoxville crazy friend appear big screen first time jackass movie wander around japan panda outfit wreak havoc civilized golf course even stunt involving live alligator johnny knoxvile pal put life risk entertaining people time get ready jackass movie,johnny knoxville bam margera steve o chris pontius dave england,jeff tremaine
Lights Out,Horror Thriller,Teresa Palmer Maria Bello Gabriel Bateman Alexander DiPersia Alicia Vela-Bailey,David F. Sandberg,6.3,48.170508,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasnï¿½ï¿½ï¿½t real when the lights went outï¿½ï¿½ï¿½and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, ha",lights out,rebecca left home thought left childhood fear behind growing never really sure real light went little brother martin experiencing unexplained terrifying event tested sanity threatened safety frightening entity mysterious attachment mother sophie ha,teresa palmer maria bello gabriel bateman alexander dipersia alicia vela bailey,david f  sandberg
